CSC21_CSCID	GAIA3_source_id	p_i	p_any	separation_from_ngc2516
2CXO_J075843.4-605525 	5290669568532575232	1.0	0.9462179	8.684303
2CXO_J075844.1-604537 	5290815013305351296	1.0	0.9939534	5.178838
2CXO_J075848.0-605413 	5290672557829815296	1.0	0.9936581	8.025327
2CXO_J075850.3-603837 	5290816937452225408	1.0	1.1549366e-08	10.790499
2CXO_J075850.5-604927 	5290767631226220032	1.0	0.9992802	5.5662136
2CXO_J075852.0-603520 	5290821438576074752	0.9999999	0.9674802	13.829208
2CXO_J075853.2-603612 	5290821438577954176	1.0	0.8238713	13.1104145
2CXO_J075856.4-604723 	5290767940463787264	1.0	0.9817513	6.1268005
2CXO_J075857.5-604300 	5290815734859774080	1.0	0.9971076	7.9841843
2CXO_J075903.4-605234 	5290766531714689280	1.0	0.001204706	8.311824
2CXO_J075905.1-604429 	5290768524579342976	0.8019753	0.9632189	7.9761815
2CXO_J075909.2-604758 	5290768077902823936	1.0	0.9001402	7.652043
2CXO_J075910.8-604447 	5290768455860509824	0.9831604	0.9302483	8.477996
2CXO_J075911.7-604222 	5290815494336836224	0.9914623	0.9896597	9.760449
2CXO_J075917.8-605527 	5290762472964405760	1.0	0.9723693	11.443201
2CXO_J075921.3-604856 	5290767150189898496	1.0	0.9937533	9.167177
2CXO_J075922.0-604526 	5290768215341699840	0.999983	0.96911	9.570119
2CXO_J075922.9-604731 	5290767356348330496	1.0	0.8994326	9.354922
2CXO_J075931.9-604843 	5290767115830162560	1.0	0.9527714	10.445599
2CXO_J075936.4-604432 	5290769727171800320	1.0	0.9604923	11.504419
2CXO_J075946.0-605120 	5290763812994440960	0.997136	0.6223306	12.584193
2CXO_J075951.3-604318 	5290769486652119936	1.0	0.9025968	13.629291
